variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V2,bar_leon,q1_openings_closings,True,157.53,False,,ok,False,"market_landscape,marketing_digital,menu_pricing",32,14,trojmiasto.pl,0.406,3,community;consumer_platforms;local_press,32,14,trojmiasto.pl,0.406,3,community;consumer_platforms;local_press,3,Uber Eats;Wolt;Glovo,True,False,False,138762,107408,6414,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,2,2,5,
V2,bar_leon,q2_closures_lessons,True,239.63,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",44,17,trojmiasto.pl,0.295,4,commercial_listings;community;consumer_platforms;local_press,44,17,trojmiasto.pl,0.295,4,commercial_listings;community;consumer_platforms;local_press,1,Glovo,True,False,False,164579,116074,9046,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",4,5,5,5,
V2,bar_leon,q3_price_comparison,True,386.69,False,,ok,False,"marketing_digital,menu_pricing,review_analyst",15,11,wolt.com,0.133,2,community;consumer_platforms,13,10,wolt.com,0.154,2,community;consumer_platforms,2,Wolt;Glovo,True,True,False,245135,207794,10285,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 2, ""find_tripadvisor_restaurant"": 10, ""fetch_web_content"": 2, ""get_tripadvisor_reviews"": 2}",2,5,3,5,
V2,bar_leon,q4_sentiment_themes,False,276.28,False,,ok,False,"guest_intelligence,review_analyst",17,13,trojmiasto.pl,0.176,2,community;local_press,17,13,trojmiasto.pl,0.176,2,community;local_press,0,,True,True,False,187029,162947,6909,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 5, ""find_tripadvisor_restaurant"": 5, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
V2,bar_leon,q5_thriving_formats,False,282.75,False,,ok,False,"location_traffic,market_landscape,menu_pricing,review_analyst",26,16,trojmiasto.pl,0.192,3,community;consumer_platforms;local_press,20,12,trojmiasto.pl,0.25,2,community;local_press,0,,True,True,False,233426,193551,9381,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 2, ""fetch_web_content"": 6, ""get_tripadvisor_reviews"": 1}",3,5,4,5,
V2,bar_leon,q6_market_saturation,False,202.35,False,,ok,False,"guest_intelligence,location_traffic,market_landscape",17,16,otodom.pl,0.118,3,commercial_listings;community;local_press,17,16,otodom.pl,0.118,3,commercial_listings;community;local_press,0,,True,False,False,136023,113137,6797,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,3,5,
V2,bar_leon,q7_market_performance,False,220.86,False,,ok,False,"market_landscape,revenue_sales,review_analyst",13,6,trojmiasto.pl,0.538,1,community,13,6,trojmiasto.pl,0.538,1,community,0,,True,True,False,188964,153280,7435,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 2}",3,5,4,5,
V2,bar_leon,q8_wage_benchmarks,False,191.25,False,,ok,False,"dynamic_researcher_1,operations",27,14,olx.pl,0.259,1,commercial_listings,27,14,olx.pl,0.259,1,commercial_listings,0,,True,False,False,55802,31554,5291,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,5,1,5,
V2,monsun,q1_openings_closings,True,218.57,False,,ok,False,"market_landscape,marketing_digital,menu_pricing",24,9,trojmiasto.pl,0.417,2,community;consumer_platforms,24,9,trojmiasto.pl,0.417,2,community;consumer_platforms,2,Uber Eats;Wolt,True,False,False,160467,119186,6461,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,5,2,5,
V2,monsun,q2_closures_lessons,True,252.7,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",41,23,trojmiasto.pl,0.293,5,commercial_listings;community;consumer_platforms;industry;local_press,38,22,trojmiasto.pl,0.316,5,commercial_listings;community;consumer_platforms;industry;local_press,1,Wolt,True,True,False,220980,168014,13895,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 6, ""find_tripadvisor_restaurant"": 7, ""fetch_web_content"": 5}",2,5,1,5,
V2,monsun,q3_price_comparison,True,207.98,False,,ok,False,"marketing_digital,menu_pricing,review_analyst",19,8,pyszne.pl,0.368,2,community;consumer_platforms,15,8,pyszne.pl,0.333,2,community;consumer_platforms,2,Uber Eats;Wolt,True,True,False,201928,171893,8614,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 4, ""find_tripadvisor_restaurant"": 2, ""fetch_web_content"": 8}",5,5,5,5,
V2,monsun,q4_sentiment_themes,False,221.63,False,,ok,False,"guest_intelligence,review_analyst",2,1,google.com,1.0,0,,2,1,google.com,1.0,0,,0,,True,True,False,175049,150538,7454,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 5}",3,5,4,5,
V2,monsun,q5_thriving_formats,False,207.72,False,,ok,False,"location_traffic,market_landscape,review_analyst",28,14,trojmiasto.pl,0.393,2,community;consumer_platforms,28,14,trojmiasto.pl,0.393,2,community;consumer_platforms,1,Wolt,True,True,False,163519,132985,7326,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 6}",1,5,3,5,
V2,monsun,q6_market_saturation,False,162.13,False,,ok,False,"location_traffic,market_landscape",14,14,bo.gdynia.pl,0.071,1,community,14,14,bo.gdynia.pl,0.071,1,community,0,,True,False,False,133151,113495,5338,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,4,5,
V2,monsun,q7_market_performance,False,329.55,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,revenue_sales,review_analyst",72,33,trojmiasto.pl,0.236,5,community;consumer_platforms;industry;influencers_blogs;local_press,66,31,trojmiasto.pl,0.258,5,community;consumer_platforms;industry;influencers_blogs;local_press,1,Wolt,True,True,False,287681,225168,11721,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 6, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 5}",4,5,4,5,
V2,monsun,q8_wage_benchmarks,False,163.23,False,,ok,False,"dynamic_researcher_1,operations",29,16,olx.pl,0.276,2,commercial_listings;community,29,16,olx.pl,0.276,2,commercial_listings;community,0,,True,False,False,57330,31716,5794,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,5,2,5,
V2,sliwka_w_kompot,q1_openings_closings,True,247.8,False,,ok,False,"market_landscape,marketing_digital,menu_pricing",21,9,esopot.pl,0.429,1,community,21,9,esopot.pl,0.429,1,community,0,,True,False,False,159688,119260,7815,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,3,5,
V2,sliwka_w_kompot,q2_closures_lessons,True,172.88,False,,ok,False,"market_landscape,marketing_digital,menu_pricing",35,21,esopot.pl,0.171,4,community;consumer_platforms;industry;local_press,34,20,esopot.pl,0.176,4,community;consumer_platforms;industry;local_press,1,Glovo,True,False,False,143982,115644,6839,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 1}",5,5,5,5,
V2,sliwka_w_kompot,q3_price_comparison,True,304.94,False,,ok,False,"marketing_digital,menu_pricing,review_analyst",11,6,google.com,0.455,1,community,11,6,google.com,0.455,1,community,0,,True,True,False,203542,170602,7508,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 8, ""get_tripadvisor_reviews"": 1}",1,5,2,5,
V2,sliwka_w_kompot,q4_sentiment_themes,False,253.6,False,,ok,False,"guest_intelligence,review_analyst",2,1,google.com,1.0,0,,2,1,google.com,1.0,0,,0,,True,True,False,252443,231848,7237,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""find_tripadvisor_restaurant"": 7, ""get_google_reviews"": 6, ""get_tripadvisor_reviews"": 1}",2,5,3,5,
V2,sliwka_w_kompot,q5_thriving_formats,False,180.31,False,,ok,False,"location_traffic,market_landscape",22,15,esopot.pl,0.182,2,commercial_listings;community,22,15,esopot.pl,0.182,2,commercial_listings;community,0,,True,False,False,130081,112080,6346,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,2,5,
V2,sliwka_w_kompot,q6_market_saturation,False,181.39,False,,ok,False,"location_traffic,market_landscape",12,8,esopot.pl,0.333,1,community,12,8,esopot.pl,0.333,1,community,0,,True,False,False,142536,120864,5949,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",4,5,5,5,
V2,sliwka_w_kompot,q7_market_performance,False,260.36,False,,ok,False,"market_landscape,marketing_digital,menu_pricing,revenue_sales,review_analyst",35,20,trojmiasto.pl,0.229,3,community;consumer_platforms;industry,31,18,trojmiasto.pl,0.258,3,community;consumer_platforms;industry,2,Uber Eats;Wolt,True,True,False,304532,246243,11484,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""fetch_web_content"": 4, ""find_tripadvisor_restaurant"": 2, ""get_tripadvisor_reviews"": 1}",1,5,2,5,
V2,sliwka_w_kompot,q8_wage_benchmarks,False,155.37,False,,ok,False,"dynamic_researcher_1,operations",21,10,jooble.org,0.238,2,commercial_listings;community,21,10,jooble.org,0.238,2,commercial_listings;community,0,,True,False,False,50679,34203,6049,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,2,5,
