variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V2_3,bar_leon,q1_openings_closings,True,317.46,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",72,37,trojmiasto.pl,0.222,4,commercial_listings;community;consumer_platforms;local_press,66,35,trojmiasto.pl,0.242,4,commercial_listings;community;consumer_platforms;local_press,3,TripAdvisor;Uber Eats;Wolt,True,True,True,263201,213906,10050,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 6, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 5, ""get_tripadvisor_reviews"": 2}",5,5,5,5,
V2_3,bar_leon,q2_closures_lessons,True,353.98,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",29,13,trojmiasto.pl,0.379,4,commercial_listings;community;consumer_platforms;local_press,29,13,trojmiasto.pl,0.379,4,commercial_listings;community;consumer_platforms;local_press,1,TripAdvisor,True,True,True,188365,131020,14103,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 3, ""get_tripadvisor_reviews"": 2}",2,5,4,1,
V2_3,bar_leon,q3_price_comparison,True,190.65,False,,ok,False,"marketing_digital,menu_pricing,review_analyst",22,16,trojmiasto.pl,0.182,3,community;consumer_platforms;local_press,22,16,trojmiasto.pl,0.182,3,community;consumer_platforms;local_press,2,TripAdvisor;Wolt,True,True,True,212941,185916,8338,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 6, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
V2_3,bar_leon,q4_sentiment_themes,False,246.7,False,,ok,False,"guest_intelligence,review_analyst",3,2,google.com,0.667,1,consumer_platforms,3,2,google.com,0.667,1,consumer_platforms,1,TripAdvisor,True,True,True,178668,161578,6679,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 5, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",2,5,3,5,
V2_3,bar_leon,q5_thriving_formats,False,242.23,False,,ok,False,"location_traffic,market_landscape,menu_pricing,review_analyst",38,26,trojmiasto.pl,0.132,5,commercial_listings;community;consumer_platforms;industry;local_press,38,26,trojmiasto.pl,0.132,5,commercial_listings;community;consumer_platforms;industry;local_press,2,Wolt;Glovo,True,True,False,192377,152031,9696,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 1}",0,5,0,5,
V2_3,bar_leon,q6_market_saturation,False,209.83,False,,ok,False,"location_traffic,market_landscape,menu_pricing,review_analyst",16,15,google.com,0.125,4,community;consumer_platforms;influencers_blogs;local_press,16,15,google.com,0.125,4,community;consumer_platforms;influencers_blogs;local_press,1,TripAdvisor,True,True,True,216133,180475,9038,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 6, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",2,5,2,5,
V2_3,bar_leon,q7_market_performance,False,219.42,False,,ok,False,"location_traffic,market_landscape,revenue_sales,review_analyst",31,26,wyborcza.pl,0.097,3,community;consumer_platforms;local_press,31,26,wyborcza.pl,0.097,3,community;consumer_platforms;local_press,1,TripAdvisor,True,True,True,225096,188932,9831,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 6, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
V2_3,bar_leon,q8_wage_benchmarks,False,211.48,False,,ok,False,"dynamic_researcher_1,operations",49,27,jooble.org,0.306,2,commercial_listings;local_press,49,27,jooble.org,0.306,2,commercial_listings;local_press,0,,True,False,False,57386,31936,5542,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""set_specialist_briefs"": 1}",0,5,0,5,
V2_3,monsun,q1_openings_closings,True,260.16,False,,ok,False,"market_landscape,marketing_digital,menu_pricing,review_analyst",25,10,trojmiasto.pl,0.48,2,community;consumer_platforms,25,10,trojmiasto.pl,0.48,2,community;consumer_platforms,1,TripAdvisor,True,True,True,164596,125132,7572,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 5, ""find_tripadvisor_restaurant"": 5}",1,5,1,5,
V2_3,monsun,q2_closures_lessons,True,235.06,False,,ok,False,"guest_intelligence,market_landscape,marketing_digital,menu_pricing,review_analyst",52,20,trojmiasto.pl,0.462,5,commercial_listings;community;consumer_platforms;industry;local_press,52,20,trojmiasto.pl,0.462,5,commercial_listings;community;consumer_platforms;industry;local_press,2,TripAdvisor;Wolt,True,True,True,214723,169771,12186,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 2, ""find_tripadvisor_restaurant"": 5, ""get_tripadvisor_reviews"": 1}",2,5,3,5,
