variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V0,bar_leon,q1_openings_closings,True,209.33,False,,ok,False,"guest_intelligence,market_landscape",10,5,trojmiasto.pl,0.6,2,community;industry,10,5,trojmiasto.pl,0.6,2,community;industry,0,,True,False,False,140322,116723,6026,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,2,2,5,
V0,bar_leon,q2_closures_lessons,True,222.98,False,,ok,False,"guest_intelligence,market_landscape,operations",33,16,trojmiasto.pl,0.242,3,commercial_listings;community;local_press,33,16,trojmiasto.pl,0.242,3,commercial_listings;community;local_press,0,,True,False,False,157207,122836,7680,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,5,1,5,
V0,bar_leon,q3_price_comparison,True,217.67,False,,ok,False,"menu_pricing,review_analyst",9,8,google.com,0.222,1,consumer_platforms,9,8,google.com,0.222,1,consumer_platforms,0,,True,True,False,215586,190962,6626,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 4, ""find_tripadvisor_restaurant"": 2, ""get_tripadvisor_reviews"": 1}",3,5,3,5,
V0,bar_leon,q4_sentiment_themes,False,276.52,False,,ok,False,"guest_intelligence,review_analyst",12,8,wyborcza.pl,0.167,2,community;local_press,12,8,wyborcza.pl,0.167,2,community;local_press,0,,True,True,False,194739,171503,7765,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 5, ""find_tripadvisor_restaurant"": 5, ""get_tripadvisor_reviews"": 2}",5,5,5,5,
V0,bar_leon,q5_thriving_formats,False,356.12,False,,ok,False,"guest_intelligence,location_traffic,market_landscape,review_analyst",33,23,trojmiasto.pl,0.182,3,commercial_listings;community;local_press,33,23,trojmiasto.pl,0.182,3,commercial_listings;community;local_press,0,,True,True,False,235739,198797,9467,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 6, ""find_tripadvisor_restaurant"": 10, ""get_tripadvisor_reviews"": 3}",5,5,5,5,
V0,bar_leon,q6_market_saturation,False,324.64,False,,ok,False,"location_traffic,market_landscape,menu_pricing,review_analyst",25,16,trojmiasto.pl,0.24,3,commercial_listings;community;local_press,25,16,trojmiasto.pl,0.24,3,commercial_listings;community;local_press,0,,True,True,False,211070,169092,9386,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 2, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
V0,bar_leon,q7_market_performance,False,288.5,False,,ok,False,"location_traffic,market_landscape,revenue_sales,review_analyst",25,13,trojmiasto.pl,0.4,2,community;local_press,25,13,trojmiasto.pl,0.4,2,community;local_press,0,,True,True,False,228769,182060,8244,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 2, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
V0,bar_leon,q8_wage_benchmarks,False,209.97,False,,ok,False,"dynamic_researcher_1,operations",1,1,google.com,1.0,0,,1,1,google.com,1.0,0,,0,,True,False,False,48217,30570,5663,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""set_specialist_briefs"": 1}",0,5,0,5,
V0,monsun,q1_openings_closings,True,235.29,False,,ok,False,"guest_intelligence,location_traffic,market_landscape",40,19,trojmiasto.pl,0.4,5,commercial_listings;community;consumer_platforms;industry;local_press,40,19,trojmiasto.pl,0.4,5,commercial_listings;community;consumer_platforms;industry;local_press,1,Wolt,True,False,False,136191,98717,6712,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",5,5,5,5,
V0,monsun,q2_closures_lessons,True,253.33,False,,ok,False,"guest_intelligence,location_traffic,market_landscape",26,16,trojmiasto.pl,0.269,3,commercial_listings;community;local_press,26,16,trojmiasto.pl,0.269,3,commercial_listings;community;local_press,0,,True,False,False,130668,101823,6938,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,3,5,
V0,monsun,q3_price_comparison,True,267.9,False,,ok,False,"guest_intelligence,menu_pricing,review_analyst",22,12,trojmiasto.pl,0.273,2,community;consumer_platforms,21,12,trojmiasto.pl,0.286,2,community;consumer_platforms,1,Wolt,True,True,False,177197,141732,7873,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 2, ""fetch_web_content"": 1}",5,5,5,5,
